2023-01-12 10:25:54.928[1673515554928] | INFO  | main       | Binance.BinanceRunner                - downloaded symbols: [testUSDT, wrongTicker]
2023-01-12 10:25:54.930[1673515554930] | INFO  | main       | Binance.BinanceRunner                - start synchronization with db
2023-01-12 10:25:55.156[1673515555156] | INFO  | main       | Binance.BinanceRunner                - symbols are synchronized
2023-01-12 10:25:55.157[1673515555157] | INFO  | main       | Binance.BinanceRunner                - getting list of symbols
2023-01-12 10:25:55.208[1673515555208] | INFO  | main       | Binance.BinanceRunner                - symbols from persistence
2023-01-12 10:25:55.209[1673515555209] | INFO  | main       | Binance.BinanceRunner                - Symbol{id=1, symbol='testUSDT'}
2023-01-12 10:25:55.210[1673515555210] | INFO  | main       | Binance.BinanceRunner                - mod params: adding one day
2023-01-12 10:25:55.210[1673515555210] | INFO  | main       | Binance.BinanceRunner                - mod params: timeframe 1d
2023-01-12 10:25:55.211[1673515555211] | INFO  | main       | Binance.BinanceRunner                - 2010-01-01T00:00 modified: 2010-01-02T00:00
2023-01-12 10:25:55.212[1673515555212] | INFO  | main       | Binance.BinanceRunner                - prepared params: {symbol=testUSDT, interval=1d, limit=1000, startTime=1262390400000}
2023-01-12 10:25:55.240[1673515555240] | INFO  | main       | persistence.DataRepository           - Using hibernate to write data: 1
2023-01-12 10:25:55.241[1673515555241] | INFO  | main       | persistence.DbWriter                 - Saving data to db for: testUSDT
2023-01-12 10:25:55.245[1673515555245] | INFO  | main       | persistence.DbWriter                 - adding data to transaction: BinanceData{dataId=model.DataId@5b3d95e1, open=0.6659282471094583, high=0.21421283669456015, low=0.9632121249373444, close=0.9573385762841005, volume=0.12234102560576432}
2023-01-12 10:25:55.344[1673515555344] | INFO  | main       | persistence.DbWriter                 - Saving all data 1 for testUSDT to Database took: 94 ms
2023-01-12 10:29:16.640[1673515756640] | INFO  | MLog-Init-Reporter | com.mchange.v2.log.MLog              - MLog clients using slf4j logging.
2023-01-12 10:29:16.828[1673515756828] | INFO  | main       | com.mchange.v2.c3p0.C3P0Registry     - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
